Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
9999,-1,-1,48,-1,-1,-1,-1,-1,-1,200,Angry
9998,35,-1,48,808,-16524,-1884,-1,-1,-1,150,Angry
9997,35,-1,48,860,-16616,-1900,-1,-1,-1,150,Angry
9996,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9995,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9994,35,-1,48,860,-16616,-1900,-1,-1,-1,150,Angry
9993,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9992,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9991,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9990,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
999,36,-1,48,788,-16568,-1884,-1,-1,-1,150,Angry
9989,35,-1,48,784,-16652,-1904,-1,-1,-1,150,Angry
9988,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9987,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9986,35,-1,48,784,-16652,-1904,-1,-1,-1,150,Angry
9985,35,-1,48,860,-16672,-1900,-1,-1,-1,150,Angry
9984,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9983,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9982,35,-1,48,860,-16672,-1900,-1,-1,-1,150,Angry
9981,35,-1,48,740,-16656,-1844,-1,-1,-1,150,Angry
9980,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
998,-1,1,48,-1,-1,-1,1296,-7044,-15720,150,Angry
9979,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9978,35,-1,48,740,-16656,-1844,-1,-1,-1,150,Angry
9977,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9976,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9975,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9974,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9973,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9972,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9971,35,-1,48,764,-16640,-1876,-1,-1,-1,150,Angry
9970,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
997,36,-1,48,876,-16576,-1880,-1,-1,-1,150,Angry
9969,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9968,35,-1,48,764,-16640,-1876,-1,-1,-1,150,Angry
9967,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9966,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9965,35,-1,48,764,-16612,-1856,-1,-1,-1,150,Angry
9964,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9963,35,-1,48,888,-16576,-1740,-1,-1,-1,150,Angry
9962,35,-1,48,764,-16612,-1856,-1,-1,-1,150,Angry
9961,-1,-1,48,-1,-1,-1,-1,-1,-1,150,Angry
9960,35,-1,48,888,-16576,-1740,-1,-1,-1,150,Angry
996,-1,1,48,-1,-1,-1,1228,-7144,-15724,150,Angry
9959,35,-1,48,876,-16680,-1980,-1,-1,-1,150,Angry
9958,-1,-1,48,-1,-1,-1,-1,-1,-1,100,Angry
9957,-1,-1,48,-1,-1,-1,-1,-1,-1,100,Angry
9956,35,-1,48,876,-16680,-1980,-1,-1,-1,100,Angry
