,Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
0,32,1,60,-680,-16556,1280,1208,-7424,-15596,100,Happy
1,32,1,60,-780,-16376,1232,1328,-7408,-15628,100,Happy
2,-1,1,60,-1,-1,-1,1212,-7276,-15612,100,Happy
3,-1,-1,60,-1,-1,-1,-1,-1,-1,100,Happy
4,32,1,60,-860,-16536,1216,1132,-7340,-15720,100,Happy
5,32,-1,60,-948,-16460,1148,-1,-1,-1,100,Happy
6,-1,-1,60,-1,-1,-1,-1,-1,-1,100,Happy
7,33,1,60,-852,-16448,1284,1216,-7388,-15564,100,Happy
8,33,1,60,-688,-16528,1080,1300,-7316,-15724,100,Happy
9,-1,-1,60,-1,-1,-1,-1,-1,-1,100,Happy
10,-1,1,60,-1,-1,-1,1228,-7388,-15616,100,Happy
11,33,-1,60,-884,-16532,1164,-1,-1,-1,100,Happy
12,-1,1,52,-1,-1,-1,1320,-7340,-15660,100,Happy
13,33,1,52,-804,-16596,1184,1292,-7416,-15448,100,Happy
14,33,1,52,-884,-16476,1112,1316,-7412,-15628,100,Happy
15,33,1,52,-916,-16468,1168,1236,-7388,-15848,100,Happy
16,-1,1,52,-1,-1,-1,1248,-7404,-15636,100,Happy
17,33,-1,52,-884,-16552,1092,-1,-1,-1,100,Angry
18,-1,-1,52,-1,-1,-1,-1,-1,-1,100,Angry
19,33,-1,52,-848,-16436,1208,-1,-1,-1,100,Angry
20,33,-1,56,-732,-16508,1288,-1,-1,-1,150,Angry
21,33,-1,56,-860,-16552,1184,-1,-1,-1,150,Angry
22,33,-1,56,-816,-16520,1260,-1,-1,-1,150,Angry
23,33,-1,56,-888,-16444,1120,-1,-1,-1,150,Angry
24,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Angry
25,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Angry
26,33,-1,56,-916,-16480,1148,-1,-1,-1,150,Angry
27,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Angry
28,33,-1,56,-848,-16524,1240,-1,-1,-1,150,Angry
29,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Angry
30,34,-1,56,-1004,-16528,940,-1,-1,-1,150,Angry
31,34,-1,56,-1064,-16520,1044,-1,-1,-1,150,Angry
32,34,-1,56,-1104,-16492,1020,-1,-1,-1,150,Angry
33,34,-1,56,-1412,-16016,5000,-1,-1,-1,150,Angry
34,34,1,56,-2636,-15304,-2156,1276,-7360,-15568,150,Angry
35,34,1,72,-1744,-16448,-2388,1252,-7352,-15700,150,Angry
36,34,-1,72,-1540,-16456,-2448,-1,-1,-1,150,Angry
37,34,1,72,-1596,-16516,-2332,1272,-7364,-15580,150,Angry
38,34,-1,72,-1400,-16396,-2460,-1,-1,-1,150,Angry
39,34,1,72,-1396,-16512,-2332,1192,-7408,-15828,150,Fear
40,34,1,72,-1280,-16508,-2492,1296,-7404,-15684,200,Fear
41,34,1,72,-1196,-16516,-2408,1292,-7440,-15700,200,Fear
42,34,1,72,-1208,-16408,-2456,1332,-7460,-15748,200,Fear
43,34,1,72,-1144,-16436,-2384,1160,-7360,-15564,200,Fear
44,-1,-1,72,-1,-1,-1,-1,-1,-1,200,Fear
45,34,1,72,-1264,-16536,-2436,1260,-7336,-15696,200,Fear
46,-1,-1,72,-1,-1,-1,-1,-1,-1,200,Fear
47,34,1,72,-1248,-16480,-2436,1188,-7408,-15672,200,Fear
48,-1,-1,72,-1,-1,-1,-1,-1,-1,200,Fear
49,34,1,72,-1224,-16504,-2416,1196,-7328,-15652,200,Fear
50,34,-1,72,-1064,-16548,-2376,-1,-1,-1,200,Fear
51,-1,1,72,-1,-1,-1,1372,-7288,-15796,200,Fear
52,-1,-1,72,-1,-1,-1,-1,-1,-1,200,Fear
53,34,1,72,-1076,-16492,-2368,1280,-7336,-15748,200,Fear
54,34,1,72,-980,-16512,-2580,1164,-7368,-15728,200,Fear
55,34,-1,72,-1088,-16548,-2396,-1,-1,-1,200,Fear
56,34,1,72,-932,-16572,-2436,1276,-7288,-15676,200,Sad
57,34,1,72,-1024,-16560,-2468,1268,-7404,-15652,200,Sad
58,35,1,72,-1072,-16532,-2468,1148,-7448,-15648,200,Sad
59,35,-1,72,-1016,-16460,-2420,-1,-1,-1,200,Sad
60,34,1,72,-924,-16496,-2308,1280,-7344,-15704,250,Sad
61,-1,1,72,-1,-1,-1,1168,-7388,-15480,250,Sad
62,34,1,72,-976,-16504,-2344,1284,-7460,-15636,250,Sad
63,-1,1,72,-1,-1,-1,1216,-7512,-15616,250,Sad
64,35,1,72,-1028,-16468,-2452,1172,-7356,-15632,250,Sad
65,-1,1,72,-1,-1,-1,1364,-7284,-15616,250,Sad
66,35,1,72,-980,-16568,-2408,1224,-7300,-15560,250,Sad
67,-1,-1,72,-1,-1,-1,-1,-1,-1,250,Sad
68,35,1,72,-916,-16616,-2432,1192,-7332,-15728,250,Sad
69,-1,1,72,-1,-1,-1,1144,-7416,-15528,250,Sad
70,35,1,72,-1160,-16480,-2412,1220,-7424,-15624,250,Sad
71,35,1,72,-860,-16476,-2616,1204,-7440,-15620,250,Sad
72,-1,-1,72,-1,-1,-1,-1,-1,-1,250,Sad
73,35,1,72,-772,-16500,-2316,1288,-7460,-15576,250,Sad
74,35,1,72,-808,-16620,-2452,1172,-7324,-15508,250,Sad
75,-1,-1,72,-1,-1,-1,-1,-1,-1,250,Sad
76,35,1,72,-860,-16440,-2340,1208,-7384,-15712,250,Sad
77,-1,-1,72,-1,-1,-1,-1,-1,-1,250,Sad
78,35,1,72,-800,-16424,-2364,1276,-7480,-15616,250,Sad
79,-1,-1,72,-1,-1,-1,-1,-1,-1,250,Sad
80,35,-1,64,-580,-16536,-2324,-1,-1,-1,100,Happy
81,34,1,64,-564,-16492,-2444,1244,-7380,-15496,100,Happy
82,-1,-1,64,-1,-1,-1,-1,-1,-1,100,Happy
83,34,1,64,-784,-16624,-2376,1252,-7404,-15816,100,Happy
84,34,-1,64,-904,-16488,-2292,-1,-1,-1,100,Happy
85,-1,1,64,-1,-1,-1,1332,-7336,-15616,100,Happy
86,35,-1,64,-820,-16560,-2388,-1,-1,-1,100,Happy
87,-1,1,64,-1,-1,-1,1220,-7208,-15696,100,Happy
88,34,-1,64,-896,-16504,-2332,-1,-1,-1,100,Happy
89,-1,1,64,-1,-1,-1,1244,-7324,-15708,100,Happy
90,34,-1,64,-748,-16544,-2356,-1,-1,-1,100,Happy
91,-1,-1,64,-1,-1,-1,-1,-1,-1,100,Happy
92,34,1,64,-884,-16660,-2464,1168,-7384,-15588,100,Happy
93,35,1,64,-880,-16664,-2400,1112,-7428,-15548,100,Happy
94,-1,1,56,-1,-1,-1,1232,-7420,-15644,100,Happy
95,35,-1,56,-952,-16460,-2380,-1,-1,-1,100,Happy
96,35,1,56,-876,-16524,-2224,1232,-7412,-15712,100,Happy
97,35,1,56,-796,-16632,-2376,1208,-7328,-15604,100,Happy
98,35,1,56,-732,-16564,-2268,1320,-7376,-15556,100,Happy
99,35,1,56,-752,-16472,-2296,1216,-7328,-15776,100,Happy
100,35,1,56,-820,-16620,-2408,1312,-7368,-15564,150,Happy
101,-1,1,56,-1,-1,-1,1248,-7372,-15664,150,Happy
102,35,1,56,-804,-16564,-2272,1304,-7276,-15704,150,Happy
