Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
0,35,-1,64,-580,-16536,-2324,-1,-1,-1,100,Happy
1,34,1,64,-564,-16492,-2444,1244,-7380,-15496,100,Happy
2,-1,-1,64,-1,-1,-1,-1,-1,-1,100,Happy
3,34,1,64,-784,-16624,-2376,1252,-7404,-15816,100,Happy
4,34,-1,64,-904,-16488,-2292,-1,-1,-1,100,Happy
5,-1,1,64,-1,-1,-1,1332,-7336,-15616,100,Happy
6,35,-1,64,-820,-16560,-2388,-1,-1,-1,100,Happy
7,-1,1,64,-1,-1,-1,1220,-7208,-15696,100,Happy
8,34,-1,64,-896,-16504,-2332,-1,-1,-1,100,Happy
9,-1,1,64,-1,-1,-1,1244,-7324,-15708,100,Happy
10,34,-1,64,-748,-16544,-2356,-1,-1,-1,100,Happy
11,-1,-1,64,-1,-1,-1,-1,-1,-1,100,Happy
12,34,1,64,-884,-16660,-2464,1168,-7384,-15588,100,Happy
13,35,1,64,-880,-16664,-2400,1112,-7428,-15548,100,Happy
14,-1,1,56,-1,-1,-1,1232,-7420,-15644,100,Happy
15,35,-1,56,-952,-16460,-2380,-1,-1,-1,100,Happy
16,35,1,56,-876,-16524,-2224,1232,-7412,-15712,100,Happy
17,35,1,56,-796,-16632,-2376,1208,-7328,-15604,100,Happy
18,35,1,56,-732,-16564,-2268,1320,-7376,-15556,100,Happy
19,35,1,56,-752,-16472,-2296,1216,-7328,-15776,100,Happy
20,35,1,56,-820,-16620,-2408,1312,-7368,-15564,150,Happy
21,-1,1,56,-1,-1,-1,1248,-7372,-15664,150,Happy
22,35,1,56,-804,-16564,-2272,1304,-7276,-15704,150,Happy
23,35,-1,56,-932,-16460,-2340,-1,-1,-1,150,Happy
24,35,1,56,-940,-16504,-2248,1184,-7452,-15580,150,Happy
25,35,-1,56,-980,-16524,-2420,-1,-1,-1,150,Happy
26,35,1,56,-1052,-16436,-2220,1260,-7404,-15664,150,Happy
27,-1,1,56,-1,-1,-1,1276,-7336,-15636,150,Happy
28,35,-1,56,-672,-16604,-2420,-1,-1,-1,150,Happy
29,-1,1,56,-1,-1,-1,1156,-7384,-15700,150,Happy
30,35,-1,56,-736,-16528,-2368,-1,-1,-1,150,Happy
31,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Happy
32,35,1,56,-856,-16460,-2308,1156,-7360,-15620,150,Happy
33,35,1,56,-880,-16492,-2344,1236,-7356,-15636,150,Happy
34,-1,1,56,-1,-1,-1,1196,-7404,-15712,150,Angry
35,35,1,56,-824,-16596,-2288,1232,-7352,-15604,150,Angry
36,35,-1,56,-896,-16564,-2304,-1,-1,-1,150,Angry
37,35,1,56,-728,-16504,-2152,1212,-7368,-15468,150,Angry
38,-1,1,56,-1,-1,-1,1348,-7340,-15748,150,Fear
39,35,1,56,-832,-16508,-2216,1268,-7236,-15784,150,Fear
40,35,1,56,-736,-16580,-2308,1236,-7440,-15672,200,Fear
41,35,1,56,-936,-16584,-2404,1268,-7252,-15508,200,Fear
42,35,1,56,-880,-16508,-2380,1256,-7324,-15676,200,Fear
43,35,1,56,-856,-16468,-2400,1224,-7212,-15496,200,Fear
44,35,1,56,-904,-16524,-2288,1128,-7344,-15600,200,Fear
45,35,1,56,-776,-16460,-2332,1204,-7360,-15664,200,Fear
46,35,1,56,-728,-16596,-2384,1220,-7412,-15676,200,Sad
47,35,1,56,-800,-16428,-2200,1168,-7468,-15460,200,Sad
48,-1,-1,56,-1,-1,-1,-1,-1,-1,200,Sad
49,35,1,56,-792,-16460,-2456,1312,-7404,-15608,200,Sad
50,-1,-1,56,-1,-1,-1,-1,-1,-1,200,Sad
51,35,1,56,-836,-16488,-2328,1156,-7324,-15568,200,Sad
52,-1,-1,56,-1,-1,-1,-1,-1,-1,200,Sad
53,35,1,56,-816,-16528,-2344,1260,-7472,-15616,200,Sad
54,-1,-1,56,-1,-1,-1,-1,-1,-1,200,Sad
55,35,1,56,-908,-16568,-2472,1240,-7364,-15652,200,Sad
56,-1,1,56,-1,-1,-1,1300,-7396,-15480,200,Sad
57,36,-1,56,-880,-16532,-2400,-1,-1,-1,200,Sad
58,35,1,56,-840,-16524,-2476,1180,-7348,-15660,200,Sad
59,35,1,56,-804,-16540,-2324,1192,-7440,-15580,200,Sad
60,-1,-1,56,-1,-1,-1,-1,-1,-1,250,Sad
